ReactionID	Reaction	Compartment	x1	y1	x2	y2
r_0283	catalase	c_14	NA	NA	NA	NA
r_0286	ceramide-1 hydroxylase (24C)	c_03	NA	NA	NA	NA
r_0287	ceramide-1 hydroxylase (24C)	c_03	NA	NA	NA	NA
r_0289	ceramide-1 hydroxylase (26C)	c_03	NA	NA	NA	NA
r_0290	ceramide-1 synthase (24C)	c_03	NA	NA	NA	NA
r_0291	ceramide-1 synthase (26C)	c_03	NA	NA	NA	NA
r_1175	ceramide-2' (sphinganine:n-C24:0OH) transport	exchange	NA	NA	NA	NA
r_1176	ceramide-2' (sphinganine:n-C26:0OH) transport	exchange	NA	NA	NA	NA
r_1177	ceramide-3 (Phytosphingosine:n-C24:0OH) transport	exchange	NA	NA	NA	NA
r_0294	ceramide-3 synthase (24C)	c_03	NA	NA	NA	NA
r_0298	"cholestenol delta-isomerase, lumped reaction"	c_02	NA	NA	NA	NA
r_0304	chorismate mutase	c_02	NA	NA	NA	NA
r_0306	chorismate synthase	c_02	NA	NA	NA	NA
r_0308	cis-aconitate(3-) to isocitrate	c_02	NA	NA	NA	NA
r_0328	citrate synthase	c_10	NA	NA	NA	NA
r_0329	citrate synthase	c_14	NA	NA	NA	NA
r_0331	citrate to cis-aconitate(3-)	c_02	NA	NA	NA	NA
r_1182	citrate transport	exchange	NA	NA	NA	NA
r_1184	citrate transport	exchange	NA	NA	NA	NA
r_1185	citrate/isocitrate antiport	exchange	NA	NA	NA	NA
r_1186	citrate/malate antiport	exchange	NA	NA	NA	NA
r_1192	CO2 transport	exchange	NA	NA	NA	NA
r_1194	CO2 transport	exchange	NA	NA	NA	NA
r_0337	cystathionine b-lyase	c_02	NA	NA	NA	NA
r_0338	cystathionine beta-synthase	c_02	NA	NA	NA	NA
r_0340	cystathionine gamma-synthase	c_02	NA	NA	NA	NA
r_0343	cytidine deaminase	c_02	NA	NA	NA	NA
r_0344	cytidine kinase (GTP)	c_02	NA	NA	NA	NA
r_0347	cytochrome P450 lanosterol 14-alpha-demethylase (NAD)	c_02	NA	NA	NA	NA
r_0348	cytochrome P450 lanosterol 14-alpha-demethylase (NADP)	c_02	NA	NA	NA	NA
r_0353	D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase	c_02	NA	NA	NA	NA
r_1207	D-lactate transport	exchange	NA	NA	NA	NA
r_1208	D-lactate transport	exchange	NA	NA	NA	NA
r_1209	D-lactate/pyruvate antiport	exchange	NA	NA	NA	NA
r_0354	D-sorbitol dehydrogenase (D-fructose producing)	c_02	NA	NA	NA	NA
r_0355	D-sorbitol reductase	c_02	NA	NA	NA	NA
r_0356	D1-pyrroline-5-carboxylate dehydrogenase	c_10	NA	NA	NA	NA
r_0359	deoxyadenosine deaminase	c_02	NA	NA	NA	NA
r_0360	deoxyadenylate kinase	c_02	NA	NA	NA	NA
r_0361	deoxycytidine deaminase	c_02	NA	NA	NA	NA
r_0362	deoxyguanylate kinase (dGMP:ATP)	c_02	NA	NA	NA	NA
r_0365	deoxyuridine kinase (ATP:deoxyuridine)	c_02	NA	NA	NA	NA
r_0366	deoxyuridine phosphorylase	c_02	NA	NA	NA	NA
r_0367	dephospho-CoA kinase	c_02	NA	NA	NA	NA
r_0368	dephospho-CoA kinase	c_10	NA	NA	NA	NA
r_0373	dihydoorotic acid (ubiquinone-6)	exchange	NA	NA	NA	NA
r_0374	dihydoorotic acid dehydrogenase	c_02	NA	NA	NA	NA
r_0375	dihydrofolate reductase	c_02	NA	NA	NA	NA
r_0381	dihydroorotase	c_02	NA	NA	NA	NA
r_0384	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)"	c_10	NA	NA	NA	NA
r_0385	"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)"	c_10	NA	NA	NA	NA
r_0387	dimethylallyltranstransferase	c_02	NA	NA	NA	NA
r_1234	dolichol phosphate transport	exchange	NA	NA	NA	NA
r_0393	dolichyl-phosphate D-mannosyltransferase	exchange	NA	NA	NA	NA
r_0394	dolichyl-phosphate-mannose--protein mannosyltransferase	c_03	NA	NA	NA	NA
r_0396	dUTP diphosphatase	c_02	NA	NA	NA	NA
r_0398	enolase	c_02	NA	NA	NA	NA
r_1239	"ergosta-5,6,22,24,(28)-tetraen-3beta-ol transport"	exchange	NA	NA	NA	NA
r_1242	ergosterol transport	exchange	NA	NA	NA	NA
r_1248	ethanol transport	exchange	NA	NA	NA	NA
r_0401	ethyl acetate-hydrolyzing esterase	c_02	NA	NA	NA	NA
r_1250	fad/FMN antiport	exchange	NA	NA	NA	NA
r_1251	fadH2 transport	exchange	NA	NA	NA	NA
r_0407	fatty acid oxidation	c_14	NA	NA	NA	NA
r_0413	fatty acid oxidation	c_14	NA	NA	NA	NA
r_0414	fatty acid oxidation	c_14	NA	NA	NA	NA
r_0416	fatty acid oxidation (tetradecansoyl-CoA)	c_14	NA	NA	NA	NA
r_0417	fatty acid synthase (n-C10:0)	c_02	NA	NA	NA	NA
r_0418	fatty acid synthase (n-C12:0)	c_02	NA	NA	NA	NA
r_0419	fatty acid synthase (n-C14:0)	c_02	NA	NA	NA	NA
r_0420	fatty acid synthase (n-C14:1)	c_02	NA	NA	NA	NA
r_0421	fatty acid synthase (n-C16:0)	c_02	NA	NA	NA	NA
r_0422	fatty acid synthase (n-C16:1)	c_02	NA	NA	NA	NA
r_0423	fatty acid synthase (n-C18:0)	c_02	NA	NA	NA	NA
r_0424	fatty acid synthase (n-C18:1)	c_02	NA	NA	NA	NA
r_0425	"fatty acid synthase (n-C24:0), lumped reaction"	c_02	NA	NA	NA	NA
r_0426	fatty acid synthase (n-C26:0)	c_02	NA	NA	NA	NA
r_0427	"fatty acid synthase (n-C8:0), lumped reaction"	c_02	NA	NA	NA	NA
r_1253	fatty acid transport	exchange	NA	NA	NA	NA
r_1254	fatty acid transport	exchange	NA	NA	NA	NA
r_1258	fatty acid transport	exchange	NA	NA	NA	NA
r_1259	fatty acid transport	exchange	NA	NA	NA	NA
r_1261	fatty acid transport	exchange	NA	NA	NA	NA
r_1262	fatty acid transport	exchange	NA	NA	NA	NA
r_1267	fatty acid transport via ABC system	exchange	NA	NA	NA	NA
r_1268	fatty acid transport via ABC system	exchange	NA	NA	NA	NA
r_0429	fatty acyl-CoA synthase (n-C10:0CoA)	c_02	NA	NA	NA	NA
r_0430	"fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction"	c_02	NA	NA	NA	NA
r_1269	fatty acyl-CoA transport via ABC system	exchange	NA	NA	NA	NA
r_1270	fatty acyl-CoA transport via ABC system	exchange	NA	NA	NA	NA
r_1272	fatty acyl-CoA transport via ABC system	exchange	NA	NA	NA	NA
r_0434	fatty-acid--CoA ligase (hexadecanoate)	c_14	NA	NA	NA	NA
r_0437	fatty-acid--CoA ligase (n-C24:0)	c_14	NA	NA	NA	NA
r_0438	fatty-acid--CoA ligase (n-C26:0)	c_14	NA	NA	NA	NA
r_0445	fatty-acid--CoA ligase (tetradecenoate)	c_02	NA	NA	NA	NA
r_0446	fatty-acid--CoA ligase (tetradecenoate)	c_14	NA	NA	NA	NA
r_0447	fatty-acyl-ACP hydrolase	c_02	NA	NA	NA	NA
r_0448	fatty-acyl-ACP hydrolase	c_02	NA	NA	NA	NA
r_0450	fatty-acyl-ACP hydrolase	c_02	NA	NA	NA	NA
r_0451	fatty-acyl-ACP hydrolase	c_02	NA	NA	NA	NA
r_0453	fatty-acyl-ACP hydrolase	c_02	NA	NA	NA	NA
r_0457	fatty-acyl-ACP synthase (n-C14:0ACP)	c_10	NA	NA	NA	NA
r_0459	fatty-acyl-ACP synthase (n-C16:0ACP)	c_10	NA	NA	NA	NA
r_0460	fatty-acyl-ACP synthase (n-C16:1ACP)	c_10	NA	NA	NA	NA
r_0462	fatty-acyl-ACP synthase (n-C18:1ACP)	c_10	NA	NA	NA	NA
r_1274	fatty-acyl-ACP transport	exchange	NA	NA	NA	NA
r_1275	fatty-acyl-ACP transport	exchange	NA	NA	NA	NA
r_1277	fatty-acyl-ACP transport	exchange	NA	NA	NA	NA
r_1278	fatty-acyl-ACP transport	exchange	NA	NA	NA	NA
r_1280	fatty-acyl-ACP transport	exchange	NA	NA	NA	NA
r_0464	fatty-acyl-CoA synthase (n-C12:0CoA)	c_02	NA	NA	NA	NA
r_0465	fatty-acyl-CoA synthase (n-C14:0CoA)	c_02	NA	NA	NA	NA
r_0466	fatty-acyl-CoA synthase (n-C16:0CoA)	c_02	NA	NA	NA	NA
r_0467	fatty-acyl-CoA synthase (n-C18:0CoA)	c_02	NA	NA	NA	NA
r_0470	ferrocytochrome-c:oxygen oxidoreductase	exchange	NA	NA	NA	NA
r_0471	ferrocytochrome-c:oxygen oxidoreductase	exchange	NA	NA	NA	NA
r_0472	FMN adenylyltransferase	c_02	NA	NA	NA	NA
r_0473	FMN adenylyltransferase	c_10	NA	NA	NA	NA
r_0474	FMN reductase	c_02	NA	NA	NA	NA
r_0475	FMN reductase	c_02	NA	NA	NA	NA
r_0477	"formate  dehydrogenase, cytosolic/mitochondrial"	exchange	NA	NA	NA	NA
