rx	reversible	ECfreeE	ECfreeEsd	ECdir	SMfreeE	SMfreeEsd	SMdir
r_0211	0	-12.66786736	1.859614157	1	-12.66786736	1.859614157	1
r_0212	0	-12.66786736	1.859614157	1	-12.66786736	1.859614157	1
r_0213	0	-17.16953425	2.324354067	1	-17.16953425	2.324354067	1
r_0214	0	NA	NA	NA	NA	NA	NA
r_0215	0	NA	NA	NA	NA	NA	NA
r_0216	0	-16.818881736	7.515291254	1	NA	NA	NA
r_0217	0	NA	NA	NA	NA	NA	NA
r_0218	1	NA	NA	NA	-91.42290511	2.955860217	1
r_0219	1	NA	NA	NA	-53.00026463	2.472191219	1
r_0220	1	NA	NA	NA	-61.74855888	4.044320181	1
r_0221	1	NA	NA	NA	-226.9049026	10.65898824	1
r_0222	0	NA	NA	NA	-38.3079458	9.892265409	1
r_0223	0	-20.386827	4.006023058	1	NA	NA	NA
r_0224	0	NA	NA	NA	NA	NA	NA
r_0225	0	8.850853219	3.635204461	0	8.850853219	3.635204461	0
r_0226	0	NA	NA	NA	0.057735735	2.074530759	1
r_0227	0	-43.04406375	6.529547874	1	NA	NA	NA
r_0228	0	-43.04406375	6.529547874	1	NA	NA	NA
r_0229	0	-36.96201359	4.27992931	1	-36.96201359	4.27992931	1
r_0230	0	-35.09777027	5.614366848	1	NA	NA	NA
r_0231	0	-35.09777027	5.614366848	1	NA	NA	NA
r_0232	0	-18.6519615733333	5.564220336	1	-22.439281	3.770240241	1
r_0233	0	15.587659012	2.324844903	0	14.24354204	2.19039426	0
r_0234	0	NA	NA	NA	NA	NA	NA
r_0235	0	NA	NA	NA	0.601361826	0.759026925	0
r_0236	0	NA	NA	NA	0.601361826	0.759026925	0
r_0237	0	NA	NA	NA	0.601361826	0.759026925	0
r_0238	0	-20.58388123	2.530791146	0	20.58388123	2.530791146	0
r_0239	0	0.868501391	2.964687769	1	NA	NA	NA
r_0240	0	0.868501391	2.964687769	1	NA	NA	NA
r_0241	0	NA	NA	NA	NA	NA	NA
r_0242	0	NA	NA	NA	NA	NA	NA
r_0243	0	NA	NA	NA	NA	NA	NA
r_0244	0	NA	NA	NA	NA	NA	NA
r_0245	0	-29.06991283	5.926893808	1	-29.06991283	5.926893808	1
r_0246	0	29.4361481	1.459542669	0	NA	NA	NA
r_0247	0	29.4361481	1.459542669	0	NA	NA	NA
r_0248	0	29.4361481	1.459542669	0	NA	NA	NA
r_0249	0	NA	NA	NA	-29.4361481	1.459542669	1
r_0250	0	NA	NA	NA	NA	NA	NA
r_0251	0	NA	NA	NA	-0.153869812	0	0
r_0252	0	NA	NA	NA	-0.153869812	0	0
r_0253	0	NA	NA	NA	-0.153869812	0	0
r_0254	0	NA	NA	NA	-0.153869812	0	0
r_0255	0	NA	NA	NA	-0.153869812	0	0
r_0256	0	0	1e+06	1	NA	NA	NA
r_0257	0	NA	NA	NA	NA	NA	NA
r_0258	0	NA	NA	NA	NA	NA	NA
r_0259	0	NA	NA	NA	NA	NA	NA
r_0260	0	NA	NA	NA	NA	NA	NA
r_0261	0	NA	NA	NA	NA	NA	NA
r_0262	0	NA	NA	NA	NA	NA	NA
r_0263	0	NA	NA	NA	NA	NA	NA
r_0264	0	NA	NA	NA	NA	NA	NA
r_0265	0	NA	NA	NA	NA	NA	NA
r_0266	0	NA	NA	NA	NA	NA	NA
r_0267	0	NA	NA	NA	NA	NA	NA
r_0268	0	NA	NA	NA	NA	NA	NA
r_0269	0	NA	NA	NA	NA	NA	NA
r_0270	0	NA	NA	NA	NA	NA	NA
r_0271	0	NA	NA	NA	NA	NA	NA
r_0272	0	NA	NA	NA	NA	NA	NA
r_0273	0	NA	NA	NA	NA	NA	NA
r_0274	0	NA	NA	NA	NA	NA	NA
r_0275	0	NA	NA	NA	NA	NA	NA
r_0276	0	NA	NA	NA	NA	NA	NA
r_0277	0	-17.5698703085714	5.564220336	1	-16.75830186	5.564220336	1
r_0278	0	-2.58109006214286	1.570225853	0	NA	NA	NA
r_0279	0	NA	NA	NA	NA	NA	NA
r_0280	0	NA	NA	NA	NA	NA	NA
r_0281	0	NA	NA	NA	NA	NA	NA
r_0282	1	-189.9202791	3	1	-189.9202791	3	1
r_0283	1	-189.9202791	3	1	-189.9202791	3	1
r_0284	0	0.929566976571429	1.762910596	1	NA	NA	NA
r_0285	0	0.929566976571429	1.762910596	1	NA	NA	NA
r_0286	0	NA	NA	NA	NA	NA	NA
r_0287	0	NA	NA	NA	NA	NA	NA
r_0288	0	NA	NA	NA	NA	NA	NA
r_0289	0	NA	NA	NA	NA	NA	NA
r_0290	0	NA	NA	NA	NA	NA	NA
r_0291	0	NA	NA	NA	NA	NA	NA
r_0292	0	NA	NA	NA	NA	NA	NA
r_0293	0	NA	NA	NA	NA	NA	NA
r_0294	0	NA	NA	NA	NA	NA	NA
r_0295	0	NA	NA	NA	NA	NA	NA
r_0296	0	NA	NA	NA	NA	NA	NA
